Datetime,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT),PT08.S2(NMHC),NOx(GT),PT08.S3(NOx),NO2(GT),PT08.S4(NO2),PT08.S5(O3),T,RH,AH,CO(GT)_scaled,NO2(GT)_scaled,NOx(GT)_scaled,C6H6(GT)_scaled,pollution_score,hour,hour_weight,contextual_pollution_score,multi_pollutant_exposure,risk_level,exposure_trend,rising_exposure,high_exposure_flag,persistent_high_exposure,dominant_pollutant,alert,recommendation
2004-03-12 06:00:00,0.8,927.0,17.0,1.8,571.0,56.0,1685.0,71.0,1223.0,487.0,6.8,62.9,0.6234,0.059322033898305086,0.20414201183431951,0.03656059580230196,0.026729559748427674,0.08331817402833243,6,1.0,0.08331817402833243,0.4542164713189,Low,-0.03627756526296827,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 07:00:00,1.4,1091.0,33.0,4.4,730.0,109.0,1387.0,104.0,1361.0,748.0,6.4,65.1,0.6316,0.11016949152542371,0.3017751479289941,0.07244414353419092,0.06761006289308177,0.14012768290203972,7,1.3,0.18216598777265164,0.5022792481076451,Low,0.048062776788745154,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 08:00:00,4.4,1587.0,202.0,17.9,1236.0,307.0,897.0,141.0,1900.0,1400.0,7.3,63.1,0.6499,0.364406779661017,0.41124260355029585,0.2064996614759648,0.279874213836478,0.31973244292216585,8,1.3,0.41565217579881564,0.8179323618384989,Moderate,0.3156531137308538,True,False,False,NO2,MODERATE: Short-term pollution spike,Short-term pollution spike mainly caused by NO2. Monitor air quality and avoid prolonged exposure.
2004-03-12 09:00:00,3.75,1545.0,205.0,22.1,1353.0,247.0,767.0,131.5,2058.0,1588.0,9.2,56.2,0.6561,0.3093220338983051,0.3831360946745562,0.16587677725118483,0.3459119496855346,0.2992322180880337,9,1.3,0.3890018835144438,1.1462587788417524,High,0.3283264170032535,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 10:00:00,3.1,1350.0,208.0,14.0,1118.0,187.0,912.0,122.0,1712.0,1237.0,13.2,41.7,0.632,0.25423728813559326,0.3550295857988166,0.12525389302640488,0.21855345911949686,0.24005274797088272,10,1.3,0.3120685723621475,1.423283976145441,High,0.2770251973036886,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 11:00:00,2.7,1263.0,166.0,11.6,1037.0,216.0,969.0,143.0,1598.0,1167.0,14.3,38.4,0.6243,0.22033898305084745,0.4171597633136095,0.14488828706838186,0.18081761006289307,0.2427772295233307,11,1.0,0.2427772295233307,1.6249840229997217,Very High,0.20170004685428067,True,True,False,NO2,HIGH: Exposure is increasing,"Exposure is rising, mainly caused by NO2. Monitor conditions closely and limit prolonged exposure."
2004-03-12 12:00:00,2.1,1206.0,114.0,10.2,986.0,143.0,1035.0,113.0,1537.0,959.0,15.0,36.5,0.6195,0.1694915254237288,0.32840236686390534,0.09546377792823289,0.15880503144654087,0.18857500011446138,12,1.0,0.18857500011446138,1.7302408490858507,Very High,0.10525682608612907,True,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 13:00:00,2.5,1252.0,140.0,11.0,1016.0,160.0,1008.0,116.0,1593.0,983.0,16.1,34.5,0.6262,0.20338983050847456,0.33727810650887574,0.10697359512525388,0.17138364779874213,0.20635660412082318,13,1.0,0.20635660412082318,1.7544314654340223,Very High,0.024190616348171545,True,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 14:00:00,2.7,1287.0,169.0,12.8,1078.0,163.0,949.0,123.0,1660.0,1061.0,16.3,35.7,0.656,0.22033898305084745,0.35798816568047337,0.10900473933649288,0.19968553459119498,0.22278702808773482,14,1.0,0.22278702808773482,1.5615663177229415,Very High,-0.19286514771108076,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 15:00:00,2.9,1353.0,185.0,14.2,1122.0,190.0,922.0,126.0,1740.0,1139.0,15.8,37.0,0.661,0.23728813559322032,0.36686390532544383,0.12728503723764387,0.22169811320754715,0.23906329896024744,15,1.0,0.23906329896024744,1.411627733168745,High,-0.1499385845541965,False,False,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 16:00:00,2.8,1309.0,165.0,12.7,1073.0,178.0,954.0,120.0,1657.0,1112.0,15.9,37.2,0.6657,0.22881355932203387,0.34911242603550297,0.11916046039268788,0.1981132075471698,0.2253349309130918,16,1.0,0.2253349309130918,1.3248940917196894,High,-0.0867336414490556,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 17:00:00,2.4,1274.0,133.0,11.7,1041.0,150.0,1006.0,119.0,1610.0,994.0,16.9,34.3,0.6549,0.19491525423728812,0.34615384615384615,0.1002031144211239,0.18238993710691823,0.2065418038363126,17,1.4,0.28915852537083764,1.3712753875671964,High,0.04638129584750694,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-12 18:00:00,3.9,1510.0,233.0,19.3,1277.0,206.0,812.0,149.0,1910.0,1410.0,15.1,39.6,0.6766,0.3220338983050847,0.4349112426035503,0.13811780636425186,0.3018867924528302,0.300244790224042,18,1.4,0.4203427063136588,1.6030430937663938,Very High,0.2317677061991974,True,True,False,NO2,HIGH: Exposure is increasing,"Exposure is rising, mainly caused by NO2. Monitor conditions closely and limit prolonged exposure."
2004-03-12 19:00:00,3.7,1525.0,242.0,18.2,1246.0,202.0,821.0,145.0,1847.0,1448.0,14.4,43.4,0.7084,0.3050847457627119,0.4230769230769231,0.13540961408259988,0.28459119496855345,0.288065297012405,19,1.4,0.403291415817367,1.7999779054629375,Very High,0.1969348116965437,True,True,True,NO2,CRITICAL: Persistent exposure and current pollution spike,"Critical risk mainly caused by NO2. Avoid outdoor activity, close windows, and activate air purification."
2004-03-12 20:00:00,6.6,1843.0,488.0,32.6,1610.0,340.0,624.0,170.0,2390.0,1887.0,12.9,50.5,0.7478,0.5508474576271186,0.49704142011834324,0.22884224779959378,0.511006289308176,0.448926412129255,20,1.4,0.628496976980957,2.2056878543561593,Very High,0.4057099488932219,True,True,True,CO,CRITICAL: Persistent exposure and current pollution spike,"Critical risk mainly caused by CO. Avoid outdoor activity, close windows, and activate air purification."
2004-03-12 21:00:00,4.4,1598.0,333.0,20.1,1299.0,274.0,752.0,149.0,1941.0,1627.0,12.1,53.3,0.7536,0.364406779661017,0.4349112426035503,0.18415707515233581,0.3144654088050315,0.32698219509828297,21,1.4,0.45777507313759613,2.424399628533508,Very High,0.21871177417734877,True,True,True,NO2,CRITICAL: Persistent exposure and current pollution spike,"Critical risk mainly caused by NO2. Avoid outdoor activity, close windows, and activate air purification."
2004-03-12 22:00:00,3.5,1484.0,215.0,14.3,1127.0,253.0,839.0,139.0,1723.0,1491.0,11.0,59.1,0.774,0.288135593220339,0.40532544378698226,0.16993906567366282,0.22327044025157233,0.2749108933815774,22,1.0,0.2749108933815774,2.473975591001994,Very High,0.049575962468485724,True,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-12 23:00:00,5.4,1677.0,367.0,21.8,1346.0,300.0,741.0,134.0,2062.0,1657.0,9.7,64.6,0.7771,0.4491525423728814,0.3905325443786982,0.2017603249830738,0.34119496855345915,0.3510579737629993,23,1.0,0.3510579737629993,2.535875039394156,Very High,0.06189944839216199,True,True,True,CO,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by CO. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-13 00:00:00,2.7,1280.0,122.0,9.6,964.0,193.0,963.0,113.0,1544.0,1285.0,9.5,64.1,0.7597,0.22033898305084745,0.32840236686390534,0.12931618144888288,0.14937106918238993,0.2104055458299293,0,0.8,0.16832443666394345,2.2838567697444403,Very High,-0.2520182696497155,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-13 01:00:00,1.9,1196.0,67.0,7.4,873.0,139.0,1071.0,97.0,1463.0,1144.0,9.1,63.9,0.7423,0.15254237288135591,0.28106508875739644,0.0927555856465809,0.11477987421383648,0.1621738553081684,1,0.8,0.12973908424653474,2.010304438173608,Very High,-0.27355233157083214,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-13 02:00:00,1.6,1184.0,43.0,5.4,782.0,83.0,1176.0,82.0,1365.0,1043.0,8.8,63.9,0.7256,0.1271186440677966,0.23668639053254437,0.05484089370345294,0.08333333333333334,0.12768408094600497,2,0.8,0.10214726475680398,1.483954725949455,High,-0.5263497122241532,False,False,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-13 03:00:00,1.7,1172.0,46.0,5.4,783.0,96.0,1179.0,82.5,1380.0,996.0,7.8,67.5,0.7173,0.13559322033898302,0.23816568047337278,0.06364251861882193,0.08333333333333334,0.13279668254141025,3,0.8,0.1062373460331282,1.132416998844987,High,-0.35153772710446796,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 04:00:00,1.35,1147.0,56.0,6.2,821.0,109.0,1132.0,83.0,1412.0,992.0,7.0,71.1,0.7158,0.1059322033898305,0.23964497041420119,0.07244414353419092,0.0959119496855346,0.1289843294411541,4,0.8,0.10318746355292328,0.960693569016333,Moderate,-0.17172342982865407,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 05:00:00,1.0,978.0,30.0,2.6,625.0,62.0,1420.0,65.0,1274.0,819.0,8.3,63.6,0.6982,0.07627118644067796,0.18639053254437868,0.04062288422477996,0.039308176100628936,0.08749634534461882,5,0.8,0.06999707627569506,0.6796326715290286,Low,-0.28106089748730434,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 06:00:00,1.2,1100.0,27.0,2.9,646.0,53.0,1406.0,60.0,1268.0,835.0,7.2,67.5,0.6887,0.09322033898305083,0.17159763313609466,0.034529451591062965,0.0440251572327044,0.08830290432324554,6,1.0,0.08830290432324554,0.5996111391883309,Low,-0.08002153234069775,False,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 07:00:00,1.5,1112.0,47.0,5.1,770.0,139.0,1228.0,77.0,1409.0,940.0,6.3,71.9,0.6932,0.11864406779661016,0.22189349112426035,0.0927555856465809,0.07861635220125786,0.12997875997194494,7,1.3,0.16897238796352843,0.6388444429053245,Low,0.03923330371699363,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 08:00:00,2.7,1336.0,132.0,11.8,1043.0,256.0,935.0,96.0,1678.0,1192.0,6.5,71.6,0.6945,0.22033898305084745,0.2781065088757397,0.17197020988490183,0.1839622641509434,0.21541332743560332,8,1.3,0.2800373256662843,0.8167345038148048,Moderate,0.17789006090948034,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 09:00:00,3.7,1408.0,239.0,15.1,1153.0,295.0,830.0,119.0,1777.0,1411.0,9.6,59.7,0.7124,0.3050847457627119,0.34615384615384615,0.1983750846310088,0.2358490566037736,0.27482746774578204,9,1.3,0.35727570806951664,1.0677728658511931,High,0.2510383620363883,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 10:00:00,3.2,1447.0,160.0,12.9,1081.0,250.0,869.0,126.0,1667.0,1465.0,12.4,51.2,0.7335,0.2627118644067797,0.36686390532544383,0.16790792146242384,0.20125786163522014,0.25275808834604485,10,1.3,0.3285855148498583,1.2931709171481283,High,0.22539805129693513,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 11:00:00,4.1,1542.0,283.0,16.1,1184.0,296.0,808.0,158.0,1780.0,1583.0,15.6,42.2,0.7451,0.3389830508474576,0.46153846153846156,0.1990521327014218,0.25157232704402516,0.31715702922301314,11,1.0,0.31715702922301314,1.5403308700954463,High,0.24715995294731807,True,False,False,NO2,NORMAL,Air quality exposure is acceptable.
2004-03-13 12:00:00,3.6,1451.0,210.0,14.0,1117.0,239.0,875.0,161.0,1679.0,1387.0,18.4,33.8,0.709,0.29661016949152547,0.47041420118343197,0.16046039268788084,0.21855345911949686,0.2904123911391852,12,1.0,0.2904123911391852,1.742440356911386,Very High,0.20210948681593965,True,True,False,NO2,HIGH: Exposure is increasing,"Exposure is rising, mainly caused by NO2. Monitor conditions closely and limit prolonged exposure."
2004-03-13 13:00:00,2.8,1328.0,154.0,12.3,1059.0,153.0,987.0,124.0,1600.0,1101.0,19.4,31.3,0.695,0.22881355932203387,0.3609467455621302,0.10223425863236289,0.1918238993710692,0.22280409871944729,13,1.0,0.22280409871944729,1.7962720676673047,Very High,0.05383171075591875,True,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
2004-03-13 14:00:00,2.0,1207.0,112.0,8.6,924.0,118.0,1088.0,102.0,1488.0,850.0,18.0,34.8,0.7127,0.16101694915254236,0.2958579881656805,0.07853757616790791,0.13364779874213836,0.16863353557758748,14,1.0,0.16863353557758748,1.6848682775786081,Very High,-0.11140379008869661,False,True,True,NO2,HIGH: Persistent accumulated exposure,Persistent high exposure mainly caused by NO2. Reduce exposure and avoid unnecessary outdoor movement.
